Accepted Symbol,Family Common Name,Common Name,Kingdom,Division,Class,Order,Family,Genus,Scientific Name,Duration,Growth Habit
ACGLG2,Maple family,Rocky Mountain maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer glabrum var. glabrum,Perennial,"Shrub, Tree"
ACGLN2,Maple family,New Mexico maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer glabrum var. neomexicanum,Perennial,"Shrub, Tree"
ACGR3,Maple family,bigtooth maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer grandidentatum,Perennial,"Shrub, Tree"
ACGRG,Maple family,bigtooth maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer grandidentatum var. grandidentatum,Perennial,"Shrub, Tree"
ACNEI2,Maple family,boxelder,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer negundo var. interius,Perennial,Tree
ACNEV,Maple family,boxelder,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer negundo var. violaceum,Perennial,Tree
SEVE2,Fig-marigold family,verrucose seapurslane,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Sesuvium,Sesuvium verrucosum,"Annual, Perennial",Forb/herb
TRPO2,Fig-marigold family,desert horsepurslane,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Trianthema,Trianthema portulacastrum,"Annual, Perennial",Forb/herb
AMAR,Amaranth family,sandhill amaranth,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus arenicola,Annual,Forb/herb
AMWR,Amaranth family,Wright's amaranth,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus wrightii,Annual,Forb/herb
FRFL,Amaranth family,plains snakecotton,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Froelichia,Froelichia floridana,Annual,Forb/herb
FRFLC,Amaranth family,plains snakecotton,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Froelichia,Froelichia floridana var. campestris,Annual,Forb/herb
GUDE,Amaranth family,small matweed,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Guilleminea,Guilleminea densa,Perennial,Forb/herb
GUDED,Amaranth family,small matweed,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Guilleminea,Guilleminea densa var. densa,Perennial,Forb/herb
TILA2,Amaranth family,woolly tidestromia,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Tidestromia,Tidestromia lanuginosa,Annual,Forb/herb
RHTRP,Sumac family,pubescent skunkbush sumac,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,Rhus trilobata var. pilosissima,Perennial,Shrub
RHTRS,Sumac family,skunkbush sumac,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,Rhus trilobata var. simplicifolia,Perennial,Shrub
ALAC2,Carrot family,stemless Indian parsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Aletes,Aletes acaulis,Perennial,Forb/herb
ALAN3,Carrot family,Rocky Mountain Indian parsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Aletes,Aletes anisatus,Perennial,Forb/herb
ALHU,Carrot family,Colorado aletes,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Aletes,Aletes humilis,Perennial,Forb/herb
ALMA3,Carrot family,MacDougal's Indian parsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Aletes,Aletes macdougalii,Perennial,Forb/herb
ALMAB,Carrot family,MacDougal's Indian parsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Aletes,Aletes macdougalii ssp. breviradiatus,Perennial,Forb/herb
ALSE5,Carrot family,sessileflower Indian parsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Aletes,Aletes sessiliflorus,Perennial,Forb/herb
ANAM,Carrot family,giant angelica,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica ampla,Perennial,Forb/herb
ANGR3,Carrot family,Gray's angelica,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica grayi,Perennial,Forb/herb
ANRO,Carrot family,rose angelica,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica roseana,Perennial,Forb/herb
COSC2,Carrot family,Rocky Mountain hemlockparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Conioselinum,Conioselinum scopulorum,Perennial,Forb/herb
CYACF,Carrot family,Fendler's springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus acaulis var. fendleri,Perennial,Forb/herb
CYBU,Carrot family,bulbous springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus bulbosus,Perennial,Forb/herb
CYCO22,Carrot family,Constance's springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus constancei,Perennial,Forb/herb
CYDU,Carrot family,Uinta Basin springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus duchesnensis,Perennial,Forb/herb
CYLO,Carrot family,longstalk springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus longipes,Perennial,Forb/herb
CYMO,Carrot family,mountain springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus montanus,Perennial,Forb/herb
CYPL,Carrot family,Rocky Mountain springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus planosus,Perennial,Forb/herb
CYPU,Carrot family,widewing springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus purpurascens,Perennial,Forb/herb
CYPU2,Carrot family,purple springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Cymopterus,Cymopterus purpureus,Perennial,Forb/herb
HATR,Carrot family,whiskbroom parsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Harbouria,Harbouria trachypleura,Perennial,Forb/herb
LIFI,Carrot family,fernleaf licorice-root,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Ligusticum,Ligusticum filicinum,Perennial,Forb/herb
LIPO,Carrot family,Porter's licorice-root,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Ligusticum,Ligusticum porteri,Perennial,Forb/herb
LIPOP,Carrot family,Porter's licorice-root,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Ligusticum,Ligusticum porteri var. porteri,Perennial,Forb/herb
LITE2,Carrot family,Idaho licorice-root,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Ligusticum,Ligusticum tenuifolium,Perennial,Forb/herb
LOBI,Carrot family,Wasatch desertparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium bicolor,Perennial,Forb/herb
LOBIB,Carrot family,Wasatch desertparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium bicolor var. bicolor,Perennial,Forb/herb
LOBIL,Carrot family,Wasatch desertparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium bicolor var. leptocarpum,Perennial,Forb/herb
LOCO2,Carrot family,adobe desertparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium concinnum,Perennial,Forb/herb
LOEA,Carrot family,Eastwood's desertparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium eastwoodiae,Perennial,Forb/herb
LOFOM,Carrot family,Macdougal's biscuitroot,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium foeniculaceum ssp. macdougalii,Perennial,Forb/herb
LOJU,Carrot family,juniper biscuitroot,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium juniperinum,Perennial,Forb/herb
LOLA4,Carrot family,Canyonlands biscuitroot,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium latilobum,Perennial,Forb/herb
LONU3,Carrot family,Nuttall's biscuitroot,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium nuttallii,Perennial,Forb/herb
MUTE3,Carrot family,slender wildparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Musineon,Musineon tenuifolium,Perennial,Forb/herb
NELI2,Carrot family,Bill's neoparrya,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Neoparrya,Neoparrya lithophila,Perennial,Forb/herb
ORAL,Carrot family,alpine oreoxis,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Oreoxis,Oreoxis alpina,Perennial,Forb/herb
ORALA,Carrot family,alpine oreoxis,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Oreoxis,Oreoxis alpina ssp. alpina,Perennial,Forb/herb
ORALP,Carrot family,alpine oreoxis,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Oreoxis,Oreoxis alpina ssp. puberulenta,Perennial,Forb/herb
ORBA,Carrot family,Baker's alpineparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Oreoxis,Oreoxis bakeri,Perennial,Forb/herb
ORHU,Carrot family,Rocky Mountain alpineparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Oreoxis,Oreoxis humilis,Perennial,Forb/herb
ORLI,Carrot family,Great Basin Indian potato,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Orogenia,Orogenia linearifolia,Perennial,Forb/herb
OXFE,Carrot family,Fendler's cowbane,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Oxypolis,Oxypolis fendleri,Perennial,Forb/herb
POEA,Carrot family,Eastwood's podistera,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Podistera,Podistera eastwoodiae,Perennial,Forb/herb
PSMO,Carrot family,alpine false springparsley,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Pseudocymopterus,Pseudocymopterus montanus,Perennial,Forb/herb
PTHE,Carrot family,Henderson's wavewing,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Pteryxia,Pteryxia hendersonii,Perennial,Forb/herb
PTPE,Carrot family,rockloving wavewing,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Pteryxia,Pteryxia petraea,Perennial,Forb/herb
PTTEA,Carrot family,turpentine wavewing,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Pteryxia,Pteryxia terebinthina var. albiflora,Perennial,Forb/herb
AMJO,Dogbane family,Jones' bluestar,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Amsonia,Amsonia jonesii,Perennial,Forb/herb
ARRAB2,Ginseng family,American spikenard,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,Aralia racemosa ssp. bicrenata,Perennial,"Forb/herb, Subshrub"
ASAR,Milkweed family,sand milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias arenaria,Perennial,Forb/herb
ASAS,Milkweed family,spider milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias asperula,Perennial,Forb/herb
ASASA,Milkweed family,spider milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias asperula ssp. asperula,Perennial,Forb/herb
ASCR,Milkweed family,pallid milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias cryptoceras,Perennial,Forb/herb
ASCRC2,Milkweed family,pallid milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias cryptoceras ssp. cryptoceras,Perennial,Forb/herb
ASEN,Milkweed family,Engelmann's milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias engelmanniana,Perennial,Forb/herb
ASHA6,Milkweed family,Hall's milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias hallii,Perennial,Forb/herb
ASIN14,Milkweed family,dwarf milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias involucrata,Perennial,"Forb/herb, Subshrub"
ASLA4,Milkweed family,broadleaf milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias latifolia,Perennial,Forb/herb
ASMA,Milkweed family,longhood milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias macrotis,Perennial,Subshrub
ASOE,Milkweed family,zizotes milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias oenotheroides,Perennial,Forb/herb
ASPU,Milkweed family,plains milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias pumila,Perennial,Forb/herb
ASRU6,Milkweed family,Rusby's milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias rusbyi,Perennial,Forb/herb
ASST,Milkweed family,slimleaf milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias stenophylla,Perennial,"Forb/herb, Subshrub"
ASSU2,Milkweed family,horsetail milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias subverticillata,Perennial,Forb/herb
ASUN4,Milkweed family,wheel milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias uncialis,Perennial,Forb/herb
ASUNU2,Milkweed family,wheel milkweed,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias,Asclepias uncialis ssp. uncialis,Perennial,Forb/herb
FUCR,Milkweed family,wavyleaf twinevine,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Funastrum,Funastrum crispum,Perennial,"Forb/herb, Vine"
ACMIA,Aster family,common yarrow,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium var. alpicola,Perennial,Forb/herb
AGHE5,Aster family,fragrant snakeroot,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,Ageratina herbacea,Perennial,"Forb/herb, Subshrub"
AGMO2,Aster family,agoseris,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris,Agoseris Ã—montana,Perennial,Forb/herb
AGAUP,Aster family,orange agoseris,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris,Agoseris aurantiaca var. purpurea,Perennial,"Forb/herb, Subshrub"
AGGLA,Aster family,pale agoseris,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris,Agoseris glauca var. agrestis,Perennial,Forb/herb
AGGLL,Aster family,false agoseris,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris,Agoseris glauca var. laciniata,Perennial,"Forb/herb, Shrub, Subshrub"
AMCO3,Aster family,weakleaf bur ragweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia confertiflora,Perennial,Forb/herb
AMGR5,Aster family,woollyleaf bur ragweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia grayi,Perennial,Forb/herb
AMLI3,Aster family,streaked bur ragweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia linearis,Annual,Subshrub
AMTO3,Aster family,skeletonleaf bur ragweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia tomentosa,Perennial,Forb/herb
ANMA5,Aster family,whitemargin pussytoes,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria marginata,Perennial,Forb/herb
ANRO3,Aster family,Kaibab pussytoes,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria rosulata,Perennial,Forb/herb
ARAR8,Aster family,little sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia arbuscula,Perennial,"Shrub, Subshrub"
ARARA,Aster family,little sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia arbuscula ssp. arbuscula,Perennial,"Shrub, Subshrub"
ARARL,Aster family,little sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia arbuscula ssp. longiloba,Perennial,"Shrub, Subshrub"
ARBI3,Aster family,Bigelow sage,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia bigelovii,Perennial,"Shrub, Subshrub"
ARCAV2,Aster family,silver sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia cana ssp. viscidula,Perennial,"Shrub, Subshrub"
ARCA14,Aster family,Carruth's sagewort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia carruthii,Perennial,Forb/herb
ARFI2,Aster family,sand sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia filifolia,Perennial,"Shrub, Subshrub"
ARFR3,Aster family,ragweed sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia franserioides,Perennial,Forb/herb
ARLUA,Aster family,white sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia ludoviciana ssp. albula,Perennial,"Forb/herb, Subshrub"
ARLUM2,Aster family,white sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia ludoviciana ssp. mexicana,Perennial,"Forb/herb, Subshrub"
ARNO4,Aster family,black sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia nova,Perennial,"Shrub, Subshrub"
ARPA17,Aster family,Parry's wormwood,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia parryi,Perennial,Forb/herb
ARPA18,Aster family,Patterson's wormwood,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia pattersonii,Perennial,Forb/herb
ARPE6,Aster family,birdfoot sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia pedatifida,Perennial,Subshrub
ARPY2,Aster family,pygmy sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia pygmaea,Perennial,"Shrub, Subshrub"
ARSC,Aster family,alpine sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia scopulorum,Perennial,Forb/herb
ARTRS2,Aster family,big sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia tridentata ssp. spiciformis,Perennial,"Shrub, Tree"
ARTRW8,Aster family,Wyoming big sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia tridentata ssp. wyomingensis,Perennial,"Shrub, Tree"
BASA4,Aster family,mule-fat,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis salicifolia,Perennial,Shrub
BASA,Aster family,willow baccharis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis salicina,Perennial,Shrub
BAWR,Aster family,Wright's baccharis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis wrightii,Perennial,"Shrub, Subshrub"
BADI,Aster family,ragleaf bahia,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Bahia,Bahia dissecta,"Annual, Biennial, Perennial",Forb/herb
BAHO,Aster family,Hooker's balsamroot,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Balsamorhiza,Balsamorhiza hookeri,Perennial,Forb/herb
BAHOH2,Aster family,hairy balsamroot,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Balsamorhiza,Balsamorhiza hookeri var. hispidula,Perennial,Forb/herb
BELY,Aster family,lyreleaf greeneyes,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Berlandiera,Berlandiera lyrata,Perennial,Forb/herb
BIBI,Aster family,Bigelow's beggarticks,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens bigelovii,Annual,Forb/herb
BIBIB2,Aster family,Bigelow's beggarticks,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens bigelovii var. bigelovii,Annual,Forb/herb
BITE,Aster family,slimlobe beggarticks,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens tenuisecta,Annual,Forb/herb
BRBR2,Aster family,plumed brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia brachyphylla,Perennial,"Forb/herb, Subshrub"
BRCA3,Aster family,California brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia californica,Perennial,"Shrub, Subshrub"
BRCAC,Aster family,California brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia californica var. californica,Perennial,"Shrub, Subshrub"
BREU,Aster family,false boneset,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia eupatorioides,Perennial,"Forb/herb, Subshrub"
BREUC2,Aster family,false boneset,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia eupatorioides var. chlorolepis,Perennial,"Forb/herb, Subshrub"
BREUC,Aster family,false boneset,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia eupatorioides var. corymbulosa,Perennial,"Forb/herb, Subshrub"
BRLO,Aster family,longleaf brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia longifolia,Perennial,"Shrub, Subshrub"
BRLOL3,Aster family,longleaf brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia longifolia var. longifolia,Perennial,Shrub
BRMI,Aster family,littleleaf brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia microphylla,Perennial,"Shrub, Subshrub"
BRMIS,Aster family,rough brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia microphylla var. scabra,Perennial,"Shrub, Subshrub"
BROBL,Aster family,narrowleaf brickellbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia oblongifolia var. linifolia,Perennial,"Forb/herb, Shrub, Subshrub"
CHDOA2,Aster family,alpine dustymaiden,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis,Chaenactis douglasii var. alpina,"Biennial, Perennial",Forb/herb
CHST,Aster family,Esteve's pincushion,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis,Chaenactis stevioides,Annual,Forb/herb
CHER2,Aster family,rose heath,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chaetopappa,Chaetopappa ericoides,Perennial,"Forb/herb, Subshrub"
CHSC,Aster family,fullstem,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chamaechaenactis,Chamaechaenactis scaposa,Perennial,Forb/herb
CHSCS,Aster family,fullstem,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chamaechaenactis,Chamaechaenactis scaposa var. scaposa,Perennial,Forb/herb
CHBA11,Aster family,Bailey's rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus baileyi,Perennial,"Shrub, Subshrub"
CHDE2,Aster family,longflower rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus depressus,Perennial,Subshrub
CHGR6,Aster family,Greene's rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus greenei,Perennial,Shrub
CHLI3,Aster family,spearleaf rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus linifolius,Perennial,Shrub
CHVA2,Aster family,Vasey's rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus vaseyi,Perennial,"Shrub, Subshrub"
CHVIA4,Aster family,yellow rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus viscidiflorus ssp. axillaris,Perennial,Shrub
CHVIP4,Aster family,yellow rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus viscidiflorus ssp. puberulus,Perennial,Shrub
CHVIV2,Aster family,yellow rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus viscidiflorus ssp. viscidiflorus,Perennial,Shrub
CHVIL10,Aster family,yellow rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus viscidiflorus ssp. viscidiflorus var. latifolius,Perennial,Shrub
CHVIS5,Aster family,yellow rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus viscidiflorus ssp. viscidiflorus var. stenophyllus,Perennial,Shrub
CHVIV4,Aster family,yellow rabbitbrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus viscidiflorus ssp. viscidiflorus var. viscidiflorus,Perennial,Shrub
CIAR6,Aster family,jeweled thistle,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium araneans,Perennial,Forb/herb
CIBA,Aster family,Barneby's thistle,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium barnebyi,Perennial,Forb/herb
CICA10,Aster family,Cainville thistle,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium calcareum,"Biennial, Perennial",Forb/herb
CICA11,Aster family,prairie thistle,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium canescens,Biennial,Forb/herb
